,PRC,BDR,SFA,BDA,ELY,GRG,CFT,PRV,PPM,IPM
151,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
152,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
153,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
154,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
155,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
156,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
157,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
158,480000000,2.0,20,38,2200,0,1,2,15905000,2370000
159,725000000,3.0,60,55,2200,0,1,2,12080000,3590000
160,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
162,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
163,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
164,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
165,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
166,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
167,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
168,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
172,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
173,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
175,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
176,725000000,2.0,60,55,2200,1,1,2,12080000,3590000
177,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
181,725000000,2.0,60,55,2200,1,1,2,12080000,3590000
183,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
184,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
185,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
186,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
187,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
188,680000000,1.0,21,42,2200,0,1,2,15905000,3360000
189,670000000,3.0,92,70,1300,1,1,2,7280000,3310000
190,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
191,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
192,480000000,2.0,20,38,2200,0,1,2,15905000,2370000
193,480000000,2.0,20,38,2200,0,1,2,15905000,2370000
194,480000000,2.0,20,38,2200,0,1,2,15905000,2370000
196,320000000,2.0,22,42,2200,0,1,2,14550000,1580000
197,320000000,2.0,21,42,2200,0,1,2,15240000,1580000
198,320000000,2.0,21,42,2200,0,1,2,15240000,1580000
199,320000000,2.0,21,42,2200,0,1,2,15240000,1580000
200,485000000,2.0,50,36,1300,1,1,2,9700000,2400000
201,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
216,680000000,1.0,19,26,2200,1,1,2,15905000,3360000
217,670000000,3.0,60,50,2200,1,1,2,11170000,3310000
218,679000000,3.0,60,50,2200,1,1,2,11320000,3360000
219,400000000,2.0,60,60,1300,0,1,2,6670000,1980000
220,525000000,2.0,18,36,1300,0,1,2,15905000,2600000
221,495000000,2.0,63,38,1300,1,1,2,7860000,2450000
222,650000000,2.0,80,45,1300,1,1,2,8119999,3220000
224,720000000,3.0,68,50,2200,1,1,2,10590000,3560000
225,720000000,3.0,68,45,2200,1,1,2,10590000,3560000
230,695000000,2.0,45,24,2200,1,1,2,15440000,3440000
231,695000000,2.0,45,23,2200,1,1,2,15440000,3440000
232,575000000,2.0,21,40,2200,0,1,2,15905000,2840000
233,575000000,2.0,24,45,2200,1,1,2,15905000,2840000
234,575000000,2.0,21,40,2200,1,1,2,15905000,2840000
235,695000000,2.0,24,45,2200,1,1,2,15905000,3440000
238,688000000,2.0,23,45,2200,0,1,2,15905000,3400000
240,485000000,2.0,18,35,2200,0,1,2,15905000,2400000
241,650000000,2.0,24,48,2200,1,1,2,15905000,3220000
242,650000000,2.0,24,48,2200,1,1,2,15905000,3220000
243,650000000,2.0,24,48,2200,1,1,2,15905000,3220000
244,650000000,2.0,24,48,2200,1,1,2,15905000,3220000
245,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
246,725000000,4.0,60,55,2200,1,1,2,12080000,3590000
247,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
250,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
251,695000000,3.0,60,45,2200,1,1,2,11580000,3440000
253,695000000,3.0,60,45,2200,1,1,2,11580000,3440000
255,725000000,3.0,60,45,2200,1,1,2,12080000,3590000
257,675000000,3.0,60,45,2200,1,1,2,11250000,3340000
259,750000000,1.0,115,35,900,0,1,2,3750000,3710000
262,500000000,1.0,60,76,900,0,1,2,8330000,2470000
263,750000000,2.0,43,43,2200,1,1,2,9500000,3710000
264,765000000,2.0,36,38,1300,0,1,2,15905000,3790000
265,280000000,1.0,70,45,900,0,1,2,4000000,1390000
266,650000000,2.0,110,27,900,0,1,2,5910000,3220000
267,698000000,3.0,50,53,2200,1,1,2,13960000,3450000
268,339000000,3.0,60,42,1300,1,1,2,5650000,1680000
269,550000000,2.0,43,35,1300,0,1,2,12790000,2720000
270,600000000,2.0,63,45,1300,1,1,2,9520000,2970000
271,560000000,3.0,66,60,1300,1,1,2,8480000,2770000
272,800000000,3.0,60,55,2200,1,1,0,13330000,3960000
273,600000000,2.0,55,60,2200,1,1,0,10910000,2970000
274,650000000,3.0,60,48,2200,1,1,0,10830000,3220000
275,600000000,3.0,60,52,2200,1,1,0,10000000,2970000
276,178000000,1.0,60,22,1300,1,1,0,2970000,880650
277,650000000,3.0,60,48,2200,1,1,0,10830000,3220000
278,650000000,3.0,60,50,2200,1,1,0,10830000,3220000
279,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
280,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
281,640000000,3.0,60,60,1300,1,1,0,10670000,3170000
282,143000000,3.0,110,76,1300,1,0,0,1300000,707490
283,600000000,3.0,60,50,2200,1,1,0,10000000,2970000
284,688000000,2.0,40,44,2200,1,1,0,15905000,3400000
285,600000000,3.0,60,48,2200,1,1,0,10000000,2970000
286,725000000,3.0,60,55,2200,1,1,0,12080000,3590000
288,454000000,2.0,90,50,1300,1,1,0,5040000,2250000
289,330000000,2.0,72,36,1300,1,1,0,4580000,1630000
290,557000000,3.0,100,76,1300,0,1,0,5570000,2760000
292,178000000,1.0,60,22,1300,1,1,0,2970000,880650
293,178000000,1.0,60,22,1300,1,1,0,2970000,880650
294,593000000,2.0,60,30,1300,1,1,0,9880000,2930000
295,500000000,2.0,72,36,1300,0,1,0,6940000,2470000
296,800000000,2.0,40,48,3500,1,0,0,15905000,3960000
297,595000000,2.0,112,46,2200,0,2,0,5310000,2940000
298,555000000,2.0,32,38,1300,1,3,0,15905000,2750000
300,798000000,3.0,84,76,2200,1,1,0,9500000,3950000
301,600000000,4.0,115,76,1300,0,1,0,5000000,2970000
303,500000000,2.0,60,55,1300,1,1,0,8330000,2470000
304,136000000,2.0,60,27,1300,1,1,0,2270000,672850
305,600000000,2.0,60,30,1300,1,1,0,10000000,2970000
306,725000000,2.0,81,55,2200,1,1,0,8950000,3590000
307,140000000,1.0,60,22,1300,0,1,0,2330000,692640
313,560000000,2.0,60,60,1300,0,1,0,9330000,2770000
314,566000000,2.0,72,36,1300,1,1,0,7860000,2800000
315,690000000,3.0,60,50,1300,1,1,0,11500000,3410000
316,480000000,3.0,50,55,1300,1,1,0,9600000,2370000
318,600000000,3.0,60,48,2200,1,1,0,10000000,2970000
321,495000000,2.0,23,60,2200,1,1,0,15905000,2450000
322,495000000,2.0,23,60,2200,1,1,0,15905000,2450000
329,695000000,3.0,60,45,2200,1,1,0,11580000,3440000
330,300000000,2.0,65,36,1300,1,1,0,4620000,1480000
331,300000000,2.0,60,36,1300,1,1,0,5000000,1480000
332,300000000,2.0,60,36,1300,1,1,0,5000000,1480000
334,168000000,2.0,66,35,900,1,1,0,2550000,831170
335,168000000,2.0,66,35,900,1,1,0,2550000,831170
345,476000000,2.0,72,36,1300,1,1,0,6620000,2360000
346,779000000,2.0,60,66,1300,1,0,0,12980000,3850000
347,650000000,4.0,60,65,1300,1,1,0,10830000,3220000
348,756000000,3.0,91,60,2200,1,1,0,8310000,3740000
349,450000000,2.0,60,45,1300,1,1,0,7500000,2230000
350,680000000,3.0,60,55,2200,1,0,0,11330000,3360000
351,650000000,3.0,60,50,1300,1,1,0,10830000,3220000
352,650000000,4.0,60,65,1300,1,1,0,10830000,3220000
353,678000000,4.0,60,65,1300,1,1,0,11300000,3350000
354,660000000,2.0,60,55,1300,1,1,0,11000000,3270000
355,650000000,4.0,60,65,2200,1,1,0,10830000,3220000
356,250000000,2.0,30,30,1300,0,1,0,8330000,1240000
